dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
dermatology-6;tabdiff;—;;0.193 +/- 0.000;2.052 +/- 0.000;nan +/- 0.000;4.618 +/- 0.000;0.144 +/- 0.000;0.742 +/- 0.000;0.334 +/- 0.000;0.207 +/- 0.000;0.794 +/- 0.000;0.214 +/- 0.000;0.997 +/- 0.000;0.05 +/- 0.000;0.825 +/- 0.000;0.056 +/- 0.000;0.772 +/- 0.000;0.773 +/- 0.000;0.619 +/- 0.000;2.472 +/- 0.000;0.631 +/- 0.000;0.773 +/- 0.000;0.791 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.872 +/- 0.000;0.749 +/- 0.000;1.056 +/- 0.000;0.0 +/- 0.000
iris0;tabdiff;—;;0.587 +/- 0.000;0.627 +/- 0.000;nan +/- 0.000;9.54 +/- 0.000;0.23 +/- 0.000;0.661 +/- 0.000;0.581 +/- 0.000;0.218 +/- 0.000;1.093 +/- 0.000;0.06 +/- 0.000;0.941 +/- 0.000;0.329 +/- 0.000;0.698 +/- 0.000;0.315 +/- 0.000;0.983 +/- 0.000;1.093 +/- 0.000;0.6 +/- 0.000;0.646 +/- 0.000;1.0 +/- 0.000;1.093 +/- 0.000;0.729 +/- 0.000;0.266 +/- 0.000;0.554 +/- 0.000;1.872 +/- 0.000;1.029 +/- 0.000;0.505 +/- 0.000;0.174 +/- 0.000
ecoli-0_vs_1;tabdiff;—;;0.326 +/- 0.000;1.292 +/- 0.000;6.298 +/- 0.000;1.93 +/- 0.000;0.096 +/- 0.000;0.76 +/- 0.000;0.294 +/- 0.000;0.113 +/- 0.000;0.597 +/- 0.000;0.047 +/- 0.000;0.938 +/- 0.000;0.808 +/- 0.000;0.711 +/- 0.000;0.342 +/- 0.000;1.803 +/- 0.000;0.54 +/- 0.000;0.411 +/- 0.000;0.554 +/- 0.000;0.984 +/- 0.000;0.54 +/- 0.000;0.717 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.099 +/- 0.000
ecoli1;tabdiff;—;;0.195 +/- 0.000;2.016 +/- 0.000;nan +/- 0.000;1.808 +/- 0.000;0.087 +/- 0.000;0.802 +/- 0.000;0.229 +/- 0.000;0.126 +/- 0.000;0.481 +/- 0.000;0.077 +/- 0.000;0.945 +/- 0.000;0.842 +/- 0.000;0.724 +/- 0.000;0.397 +/- 0.000;1.339 +/- 0.000;0.364 +/- 0.000;0.373 +/- 0.000;0.602 +/- 0.000;0.914 +/- 0.000;0.364 +/- 0.000;0.589 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.722 +/- 0.000;1.564 +/- 0.000;0.766 +/- 0.000;0.227 +/- 0.000
kddcup-guess_passwd_vs_satan;tabdiff;—;;0.496 +/- 0.000;1.034 +/- 0.000;nan +/- 0.000;6.385 +/- 0.000;0.193 +/- 0.000;0.668 +/- 0.000;0.411 +/- 0.000;0.29 +/- 0.000;1.196 +/- 0.000;0.232 +/- 0.000;0.604 +/- 0.000;0.03 +/- 0.000;0.276 +/- 0.000;0.029 +/- 0.000;0.0 +/- 0.000;1.149 +/- 0.000;0.79 +/- 0.000;5.19 +/- 0.000;0.742 +/- 0.000;1.149 +/- 0.000;4.003 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.981 +/- 0.000;0.023 +/- 0.000
Migraine_onevsrest_0;tabdiff;—;;0.096 +/- 0.000;4.144 +/- 0.000;30.151 +/- 0.000;0.333 +/- 0.000;0.045 +/- 0.000;0.909 +/- 0.000;0.115 +/- 0.000;0.064 +/- 0.000;0.335 +/- 0.000;0.04 +/- 0.000;0.943 +/- 0.000;0.981 +/- 0.000;0.817 +/- 0.000;0.379 +/- 0.000;1.068 +/- 0.000;0.275 +/- 0.000;0.29 +/- 0.000;0.796 +/- 0.000;0.492 +/- 0.000;0.275 +/- 0.000;1.094 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.536 +/- 0.000;0.052 +/- 0.000
Migraine_onevsrest_1;tabdiff;—;;0.132 +/- 0.000;2.509 +/- 0.000;nan +/- 0.000;1.963 +/- 0.000;0.05 +/- 0.000;0.904 +/- 0.000;0.134 +/- 0.000;0.068 +/- 0.000;0.317 +/- 0.000;0.154 +/- 0.000;0.996 +/- 0.000;0.215 +/- 0.000;0.882 +/- 0.000;0.247 +/- 0.000;1.137 +/- 0.000;0.314 +/- 0.000;0.341 +/- 0.000;0.775 +/- 0.000;0.492 +/- 0.000;0.314 +/- 0.000;0.769 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.267 +/- 0.000;0.087 +/- 0.000
Migraine_onevsrest_2;tabdiff;—;;0.102 +/- 0.000;3.032 +/- 0.000;nan +/- 0.000;1.458 +/- 0.000;0.055 +/- 0.000;0.892 +/- 0.000;0.155 +/- 0.000;0.082 +/- 0.000;0.391 +/- 0.000;0.172 +/- 0.000;0.994 +/- 0.000;0.172 +/- 0.000;0.983 +/- 0.000;0.286 +/- 0.000;1.208 +/- 0.000;0.383 +/- 0.000;0.328 +/- 0.000;0.838 +/- 0.000;0.492 +/- 0.000;0.383 +/- 0.000;0.987 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.834 +/- 0.000;0.065 +/- 0.000
Migraine_onevsrest_3;tabdiff;—;;0.265 +/- 0.000;1.649 +/- 0.000;nan +/- 0.000;4.312 +/- 0.000;0.13 +/- 0.000;0.764 +/- 0.000;0.256 +/- 0.000;0.194 +/- 0.000;0.828 +/- 0.000;0.222 +/- 0.000;1.0 +/- 0.000;0.048 +/- 0.000;1.086 +/- 0.000;0.053 +/- 0.000;1.404 +/- 0.000;0.824 +/- 0.000;0.736 +/- 0.000;1.696 +/- 0.000;0.492 +/- 0.000;0.824 +/- 0.000;0.728 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.524 +/- 0.000;0.048 +/- 0.000
Migraine_onevsrest_4;tabdiff;—;;0.128 +/- 0.000;2.851 +/- 0.000;nan +/- 0.000;0.752 +/- 0.000;0.068 +/- 0.000;0.865 +/- 0.000;0.189 +/- 0.000;0.111 +/- 0.000;0.779 +/- 0.000;0.206 +/- 0.000;1.0 +/- 0.000;0.215 +/- 0.000;0.919 +/- 0.000;0.098 +/- 0.000;1.473 +/- 0.000;0.754 +/- 0.000;0.483 +/- 0.000;1.973 +/- 0.000;0.492 +/- 0.000;0.754 +/- 0.000;3.574 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.501 +/- 0.000;0.042 +/- 0.000
Migraine_onevsrest_5;tabdiff;—;;0.092 +/- 0.000;3.141 +/- 0.000;nan +/- 0.000;1.715 +/- 0.000;0.059 +/- 0.000;0.886 +/- 0.000;0.152 +/- 0.000;0.085 +/- 0.000;0.406 +/- 0.000;0.163 +/- 0.000;0.977 +/- 0.000;0.284 +/- 0.000;0.958 +/- 0.000;0.353 +/- 0.000;1.042 +/- 0.000;0.386 +/- 0.000;0.347 +/- 0.000;0.961 +/- 0.000;0.492 +/- 0.000;0.386 +/- 0.000;1.028 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.734 +/- 0.000;0.065 +/- 0.000
new-thyroid1;tabdiff;—;;0.323 +/- 0.000;1.213 +/- 0.000;nan +/- 0.000;6.909 +/- 0.000;0.242 +/- 0.000;0.554 +/- 0.000;0.566 +/- 0.000;0.319 +/- 0.000;1.168 +/- 0.000;0.118 +/- 0.000;0.917 +/- 0.000;0.505 +/- 0.000;0.686 +/- 0.000;0.252 +/- 0.000;1.728 +/- 0.000;1.147 +/- 0.000;0.571 +/- 0.000;1.04 +/- 0.000;1.0 +/- 0.000;1.147 +/- 0.000;1.315 +/- 0.000;2.79 +/- 0.000;14.829 +/- 0.000;2.361 +/- 0.000;2.006 +/- 0.000;0.836 +/- 0.000;0.463 +/- 0.000
newthyroid2;tabdiff;—;;0.323 +/- 0.000;1.221 +/- 0.000;nan +/- 0.000;7.296 +/- 0.000;0.248 +/- 0.000;0.546 +/- 0.000;0.584 +/- 0.000;0.324 +/- 0.000;1.096 +/- 0.000;0.118 +/- 0.000;0.958 +/- 0.000;0.565 +/- 0.000;0.694 +/- 0.000;0.252 +/- 0.000;1.693 +/- 0.000;1.068 +/- 0.000;0.565 +/- 0.000;0.998 +/- 0.000;1.0 +/- 0.000;1.068 +/- 0.000;1.135 +/- 0.000;2.68 +/- 0.000;14.566 +/- 0.000;2.36 +/- 0.000;2.001 +/- 0.000;0.835 +/- 0.000;0.444 +/- 0.000
Obesity_onevsrest_0;tabdiff;—;;0.09 +/- 0.000;3.342 +/- 0.000;nan +/- 0.000;1.118 +/- 0.000;0.09 +/- 0.000;0.824 +/- 0.000;0.238 +/- 0.000;0.145 +/- 0.000;0.462 +/- 0.000;0.147 +/- 0.000;0.715 +/- 0.000;0.528 +/- 0.000;0.398 +/- 0.000;0.248 +/- 0.000;2.466 +/- 0.000;0.391 +/- 0.000;0.263 +/- 0.000;0.703 +/- 0.000;0.543 +/- 0.000;0.391 +/- 0.000;0.585 +/- 0.000;1.172 +/- 0.000;13.393 +/- 0.000;1.062 +/- 0.000;1.314 +/- 0.000;1.45 +/- 0.000;0.03 +/- 0.000
Obesity_onevsrest_1;tabdiff;—;;0.069 +/- 0.000;4.11 +/- 0.000;nan +/- 0.000;0.718 +/- 0.000;0.076 +/- 0.000;0.849 +/- 0.000;0.19 +/- 0.000;0.123 +/- 0.000;0.465 +/- 0.000;0.083 +/- 0.000;0.819 +/- 0.000;0.876 +/- 0.000;0.46 +/- 0.000;0.252 +/- 0.000;2.745 +/- 0.000;0.345 +/- 0.000;0.222 +/- 0.000;0.676 +/- 0.000;0.543 +/- 0.000;0.345 +/- 0.000;0.87 +/- 0.000;0.846 +/- 0.000;3.898 +/- 0.000;1.067 +/- 0.000;1.465 +/- 0.000;1.679 +/- 0.000;0.013 +/- 0.000
Obesity_onevsrest_2;tabdiff;—;;0.026 +/- 0.000;7.165 +/- 0.000;nan +/- 0.000;0.756 +/- 0.000;0.07 +/- 0.000;0.86 +/- 0.000;0.142 +/- 0.000;0.109 +/- 0.000;0.313 +/- 0.000;0.048 +/- 0.000;0.696 +/- 0.000;0.81 +/- 0.000;0.382 +/- 0.000;0.312 +/- 0.000;2.704 +/- 0.000;0.2 +/- 0.000;0.133 +/- 0.000;0.304 +/- 0.000;0.543 +/- 0.000;0.2 +/- 0.000;0.611 +/- 0.000;0.729 +/- 0.000;5.868 +/- 0.000;1.062 +/- 0.000;1.346 +/- 0.000;1.401 +/- 0.000;0.045 +/- 0.000
Obesity_onevsrest_3;tabdiff;—;;0.028 +/- 0.000;6.585 +/- 0.000;nan +/- 0.000;0.783 +/- 0.000;0.067 +/- 0.000;0.865 +/- 0.000;0.153 +/- 0.000;0.106 +/- 0.000;0.336 +/- 0.000;0.056 +/- 0.000;0.721 +/- 0.000;0.748 +/- 0.000;0.424 +/- 0.000;0.31 +/- 0.000;2.555 +/- 0.000;0.219 +/- 0.000;0.156 +/- 0.000;0.318 +/- 0.000;0.543 +/- 0.000;0.219 +/- 0.000;0.568 +/- 0.000;1.179 +/- 0.000;10.328 +/- 0.000;1.062 +/- 0.000;1.265 +/- 0.000;1.215 +/- 0.000;0.051 +/- 0.000
Obesity_onevsrest_4;tabdiff;—;;0.033 +/- 0.000;5.766 +/- 0.000;nan +/- 0.000;0.672 +/- 0.000;0.06 +/- 0.000;0.878 +/- 0.000;0.151 +/- 0.000;0.092 +/- 0.000;0.294 +/- 0.000;0.053 +/- 0.000;0.687 +/- 0.000;0.665 +/- 0.000;0.407 +/- 0.000;0.288 +/- 0.000;2.28 +/- 0.000;0.217 +/- 0.000;0.16 +/- 0.000;0.419 +/- 0.000;0.543 +/- 0.000;0.217 +/- 0.000;0.473 +/- 0.000;1.427 +/- 0.000;17.019 +/- 0.000;1.062 +/- 0.000;1.187 +/- 0.000;1.102 +/- 0.000;0.072 +/- 0.000
Obesity_onevsrest_5;tabdiff;—;;0.12 +/- 0.000;2.763 +/- 0.000;nan +/- 0.000;1.872 +/- 0.000;0.087 +/- 0.000;0.834 +/- 0.000;0.223 +/- 0.000;0.127 +/- 0.000;0.431 +/- 0.000;0.154 +/- 0.000;0.796 +/- 0.000;0.194 +/- 0.000;0.598 +/- 0.000;0.191 +/- 0.000;1.495 +/- 0.000;0.408 +/- 0.000;0.341 +/- 0.000;0.659 +/- 0.000;0.543 +/- 0.000;0.408 +/- 0.000;0.573 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.066 +/- 0.000;0.889 +/- 0.000;0.778 +/- 0.000;0.069 +/- 0.000
Obesity_onevsrest_6;tabdiff;—;;0.223 +/- 0.000;1.988 +/- 0.000;nan +/- 0.000;3.155 +/- 0.000;0.099 +/- 0.000;0.818 +/- 0.000;0.241 +/- 0.000;0.117 +/- 0.000;0.51 +/- 0.000;0.143 +/- 0.000;0.902 +/- 0.000;0.282 +/- 0.000;0.776 +/- 0.000;0.126 +/- 0.000;0.146 +/- 0.000;0.485 +/- 0.000;0.519 +/- 0.000;1.007 +/- 0.000;0.533 +/- 0.000;0.485 +/- 0.000;0.892 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;0.266 +/- 0.000;0.19 +/- 0.000;0.012 +/- 0.000
page-blocks-1-3_vs_4;tabdiff;—;;0.151 +/- 0.000;1.976 +/- 0.000;nan +/- 0.000;8.212 +/- 0.000;0.308 +/- 0.000;0.477 +/- 0.000;0.609 +/- 0.000;0.395 +/- 0.000;1.278 +/- 0.000;0.118 +/- 0.000;0.704 +/- 0.000;0.121 +/- 0.000;0.411 +/- 0.000;0.115 +/- 0.000;375.46 +/- 0.000;1.209 +/- 0.000;0.474 +/- 0.000;1.362 +/- 0.000;0.968 +/- 0.000;1.209 +/- 0.000;2.992 +/- 0.000;2.772 +/- 0.000;19.544 +/- 0.000;1.792 +/- 0.000;2.482 +/- 0.000;1.509 +/- 0.000;0.246 +/- 0.000
pima;tabdiff;—;;0.063 +/- 0.000;3.958 +/- 0.000;nan +/- 0.000;0.617 +/- 0.000;0.059 +/- 0.000;0.783 +/- 0.000;0.199 +/- 0.000;0.069 +/- 0.000;0.336 +/- 0.000;0.013 +/- 0.000;0.914 +/- 0.000;0.962 +/- 0.000;0.777 +/- 0.000;0.492 +/- 0.000;1.248 +/- 0.000;0.263 +/- 0.000;0.168 +/- 0.000;0.387 +/- 0.000;0.812 +/- 0.000;0.263 +/- 0.000;0.502 +/- 0.000;0.342 +/- 0.000;1.09 +/- 0.000;2.334 +/- 0.000;2.377 +/- 0.000;1.016 +/- 0.000;0.102 +/- 0.000
transfusion;tabdiff;—;;0.059 +/- 0.000;3.43 +/- 0.000;nan +/- 0.000;0.43 +/- 0.000;0.057 +/- 0.000;0.818 +/- 0.000;0.231 +/- 0.000;0.085 +/- 0.000;0.364 +/- 0.000;0.019 +/- 0.000;0.914 +/- 0.000;0.966 +/- 0.000;0.825 +/- 0.000;0.521 +/- 0.000;60.596 +/- 0.000;0.346 +/- 0.000;0.17 +/- 0.000;0.328 +/- 0.000;1.0 +/- 0.000;0.346 +/- 0.000;0.815 +/- 0.000;0.259 +/- 0.000;5.298 +/- 0.000;2.252 +/- 0.000;2.33 +/- 0.000;1.03 +/- 0.000;0.8 +/- 0.000
vowel0;tabdiff;—;;0.113 +/- 0.000;2.782 +/- 0.000;nan +/- 0.000;2.154 +/- 0.000;0.106 +/- 0.000;0.75 +/- 0.000;0.25 +/- 0.000;0.175 +/- 0.000;0.598 +/- 0.000;0.136 +/- 0.000;0.188 +/- 0.000;0.52 +/- 0.000;0.083 +/- 0.000;0.062 +/- 0.000;6.761 +/- 0.000;0.468 +/- 0.000;0.344 +/- 0.000;0.954 +/- 0.000;0.816 +/- 0.000;0.468 +/- 0.000;0.512 +/- 0.000;0.24 +/- 0.000;0.507 +/- 0.000;2.248 +/- 0.000;2.156 +/- 0.000;0.964 +/- 0.000;0.006 +/- 0.000
yeast1;tabdiff;—;;0.041 +/- 0.000;4.255 +/- 0.000;nan +/- 0.000;0.473 +/- 0.000;0.056 +/- 0.000;0.826 +/- 0.000;0.133 +/- 0.000;0.087 +/- 0.000;0.277 +/- 0.000;0.019 +/- 0.000;0.878 +/- 0.000;0.951 +/- 0.000;0.817 +/- 0.000;0.616 +/- 0.000;1.355 +/- 0.000;0.242 +/- 0.000;0.143 +/- 0.000;0.293 +/- 0.000;0.754 +/- 0.000;0.242 +/- 0.000;0.565 +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.111 +/- 0.000;2.19 +/- 0.000;0.87 +/- 0.000;0.346 +/- 0.000
yeast3;tabdiff;—;;0.127 +/- 0.000;2.604 +/- 0.000;nan +/- 0.000;2.457 +/- 0.000;0.079 +/- 0.000;0.812 +/- 0.000;0.177 +/- 0.000;0.117 +/- 0.000;0.385 +/- 0.000;0.133 +/- 0.000;0.894 +/- 0.000;0.589 +/- 0.000;0.778 +/- 0.000;0.337 +/- 0.000;1.374 +/- 0.000;0.364 +/- 0.000;0.386 +/- 0.000;0.492 +/- 0.000;0.754 +/- 0.000;0.364 +/- 0.000;0.439 +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.111 +/- 0.000;1.95 +/- 0.000;0.77 +/- 0.000;0.269 +/- 0.000
abalone9-18;tvae;—;;0.143 +/- 0.000;2.056 +/- 0.000;4.227 +/- 0.000;1.752 +/- 0.000;0.13 +/- 0.000;0.726 +/- 0.000;0.384 +/- 0.000;0.22 +/- 0.000;0.74 +/- 0.000;0.109 +/- 0.000;0.601 +/- 0.000;0.822 +/- 0.000;0.286 +/- 0.000;0.248 +/- 0.000;8.08 +/- 0.000;0.713 +/- 0.000;0.446 +/- 0.000;0.727 +/- 0.000;0.983 +/- 0.000;0.713 +/- 0.000;0.466 +/- 0.000;0.622 +/- 0.000;1.686 +/- 0.000;2.415 +/- 0.000;2.306 +/- 0.000;1.062 +/- 0.000;0.307 +/- 0.000
cleveland-0_vs_4;tvae;—;;0.282 +/- 0.000;1.546 +/- 0.000;4.753 +/- 0.000;7.761 +/- 0.000;0.265 +/- 0.000;0.553 +/- 0.000;0.543 +/- 0.000;0.394 +/- 0.000;0.93 +/- 0.000;0.209 +/- 0.000;1.0 +/- 0.000;0.046 +/- 0.000;1.885 +/- 0.000;0.21 +/- 0.000;0.922 +/- 0.000;0.837 +/- 0.000;0.606 +/- 0.000;1.126 +/- 0.000;0.591 +/- 0.000;0.837 +/- 0.000;0.736 +/- 0.000;3.032 +/- 0.000;21.876 +/- 0.000;1.306 +/- 0.000;1.941 +/- 0.000;2.208 +/- 0.000;0.006 +/- 0.000
dermatology-6;tvae;—;;0.244 +/- 0.000;1.831 +/- 0.000;7.79 +/- 0.000;5.503 +/- 0.000;0.238 +/- 0.000;0.609 +/- 0.000;0.548 +/- 0.000;0.35 +/- 0.000;0.871 +/- 0.000;0.219 +/- 0.000;1.0 +/- 0.000;0.025 +/- 0.000;1.836 +/- 0.000;0.056 +/- 0.000;0.734 +/- 0.000;0.794 +/- 0.000;0.658 +/- 0.000;2.588 +/- 0.000;0.631 +/- 0.000;0.794 +/- 0.000;0.839 +/- 0.000;1.598 +/- 0.000;3.606 +/- 0.000;0.88 +/- 0.000;1.064 +/- 0.000;1.488 +/- 0.000;0.0 +/- 0.000
iris0;tvae;—;;0.61 +/- 0.000;0.593 +/- 0.000;0.842 +/- 0.000;10.698 +/- 0.000;0.275 +/- 0.000;0.633 +/- 0.000;0.643 +/- 0.000;0.268 +/- 0.000;1.102 +/- 0.000;0.064 +/- 0.000;0.961 +/- 0.000;0.315 +/- 0.000;1.004 +/- 0.000;0.322 +/- 0.000;0.647 +/- 0.000;1.098 +/- 0.000;0.645 +/- 0.000;0.667 +/- 0.000;1.0 +/- 0.000;1.098 +/- 0.000;0.842 +/- 0.000;0.297 +/- 0.000;1.402 +/- 0.000;1.921 +/- 0.000;0.727 +/- 0.000;0.344 +/- 0.000;0.152 +/- 0.000
ecoli-0_vs_1;tvae;—;;0.325 +/- 0.000;1.298 +/- 0.000;7.33 +/- 0.000;5.385 +/- 0.000;0.17 +/- 0.000;nan +/- 0.000;0.516 +/- 0.000;0.216 +/- 0.000;0.599 +/- 0.000;0.062 +/- 0.000;0.969 +/- 0.000;0.274 +/- 0.000;1.092 +/- 0.000;0.301 +/- 0.000;1.047 +/- 0.000;0.564 +/- 0.000;0.54 +/- 0.000;0.652 +/- 0.000;0.984 +/- 0.000;0.564 +/- 0.000;0.581 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.537 +/- 0.000;1.421 +/- 0.000;346821217698.201 +/- 0.000;0.0 +/- 0.000
ecoli1;tvae;—;;0.268 +/- 0.000;1.611 +/- 0.000;2.38 +/- 0.000;5.586 +/- 0.000;0.137 +/- 0.000;0.74 +/- 0.000;0.458 +/- 0.000;0.171 +/- 0.000;0.605 +/- 0.000;0.11 +/- 0.000;0.989 +/- 0.000;0.245 +/- 0.000;1.125 +/- 0.000;0.304 +/- 0.000;0.973 +/- 0.000;0.544 +/- 0.000;0.544 +/- 0.000;0.765 +/- 0.000;0.914 +/- 0.000;0.544 +/- 0.000;0.795 +/- 0.000;3.627 +/- 0.000;51.713 +/- 0.000;1.673 +/- 0.000;1.17 +/- 0.000;0.506 +/- 0.000;0.17 +/- 0.000
kddcup-guess_passwd_vs_satan;tvae;—;;0.352 +/- 0.000;1.389 +/- 0.000;29.254 +/- 0.000;7.43 +/- 0.000;0.273 +/- 0.000;nan +/- 0.000;0.679 +/- 0.000;0.502 +/- 0.000;1.094 +/- 0.000;0.235 +/- 0.000;0.684 +/- 0.000;0.024 +/- 0.000;0.562 +/- 0.000;0.023 +/- 0.000;0.0 +/- 0.000;1.034 +/- 0.000;0.871 +/- 0.000;4.422 +/- 0.000;0.742 +/- 0.000;1.034 +/- 0.000;0.685 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.548 +/- 0.000;1.18 +/- 0.000;969131067818.489 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_0;tvae;—;;0.085 +/- 0.000;4.769 +/- 0.000;33.397 +/- 0.000;1.324 +/- 0.000;0.071 +/- 0.000;nan +/- 0.000;0.53 +/- 0.000;0.138 +/- 0.000;0.247 +/- 0.000;0.046 +/- 0.000;0.981 +/- 0.000;0.493 +/- 0.000;1.109 +/- 0.000;0.281 +/- 0.000;0.94 +/- 0.000;0.21 +/- 0.000;0.23 +/- 0.000;0.513 +/- 0.000;0.492 +/- 0.000;0.21 +/- 0.000;0.616 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.495 +/- 0.000;0.964 +/- 0.000;296792699450.64 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_1;tvae;—;;0.182 +/- 0.000;2.079 +/- 0.000;6.252 +/- 0.000;3.632 +/- 0.000;0.124 +/- 0.000;nan +/- 0.000;0.526 +/- 0.000;0.201 +/- 0.000;0.46 +/- 0.000;0.197 +/- 0.000;1.0 +/- 0.000;0.045 +/- 0.000;1.37 +/- 0.000;0.09 +/- 0.000;0.992 +/- 0.000;0.432 +/- 0.000;0.585 +/- 0.000;1.152 +/- 0.000;0.492 +/- 0.000;0.432 +/- 0.000;0.852 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.501 +/- 0.000;0.637 +/- 0.000;328682150381.4 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_2;tvae;—;;0.125 +/- 0.000;2.847 +/- 0.000;9.297 +/- 0.000;2.745 +/- 0.000;0.13 +/- 0.000;nan +/- 0.000;0.536 +/- 0.000;0.257 +/- 0.000;0.414 +/- 0.000;0.21 +/- 0.000;0.997 +/- 0.000;0.048 +/- 0.000;1.706 +/- 0.000;0.135 +/- 0.000;1.155 +/- 0.000;0.342 +/- 0.000;0.5 +/- 0.000;0.746 +/- 0.000;0.492 +/- 0.000;0.342 +/- 0.000;0.847 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.502 +/- 0.000;0.933 +/- 0.000;304481015131.119 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_3;tvae;—;;0.277 +/- 0.000;1.57 +/- 0.000;9.601 +/- 0.000;5.937 +/- 0.000;0.196 +/- 0.000;nan +/- 0.000;0.599 +/- 0.000;0.386 +/- 0.000;0.926 +/- 0.000;0.238 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;1.961 +/- 0.000;0.048 +/- 0.000;1.63 +/- 0.000;0.868 +/- 0.000;0.799 +/- 0.000;1.989 +/- 0.000;0.492 +/- 0.000;0.868 +/- 0.000;0.82 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.497 +/- 0.000;0.94 +/- 0.000;331373216834.723 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_4;tvae;—;;0.164 +/- 0.000;2.299 +/- 0.000;16.484 +/- 0.000;2.519 +/- 0.000;0.152 +/- 0.000;nan +/- 0.000;0.571 +/- 0.000;0.322 +/- 0.000;0.669 +/- 0.000;0.223 +/- 0.000;1.0 +/- 0.000;0.013 +/- 0.000;1.869 +/- 0.000;0.093 +/- 0.000;1.432 +/- 0.000;0.561 +/- 0.000;0.573 +/- 0.000;1.238 +/- 0.000;0.492 +/- 0.000;0.561 +/- 0.000;1.099 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.508 +/- 0.000;1.411 +/- 0.000;289488141301.007 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_5;tvae;—;;0.11 +/- 0.000;2.898 +/- 0.000;9.256 +/- 0.000;3.033 +/- 0.000;0.18 +/- 0.000;nan +/- 0.000;0.545 +/- 0.000;0.282 +/- 0.000;0.487 +/- 0.000;0.197 +/- 0.000;0.911 +/- 0.000;0.125 +/- 0.000;0.798 +/- 0.000;0.141 +/- 0.000;1.108 +/- 0.000;0.388 +/- 0.000;0.446 +/- 0.000;0.95 +/- 0.000;0.492 +/- 0.000;0.388 +/- 0.000;0.912 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.502 +/- 0.000;1.081 +/- 0.000;305860655941.739 +/- 0.000;0.0 +/- 0.000
new-thyroid1;tvae;—;;0.383 +/- 0.000;1.043 +/- 0.000;2.134 +/- 0.000;6.129 +/- 0.000;0.284 +/- 0.000;0.52 +/- 0.000;0.634 +/- 0.000;0.398 +/- 0.000;0.977 +/- 0.000;0.115 +/- 0.000;0.951 +/- 0.000;0.547 +/- 0.000;0.896 +/- 0.000;0.206 +/- 0.000;1.755 +/- 0.000;0.969 +/- 0.000;0.65 +/- 0.000;0.81 +/- 0.000;1.0 +/- 0.000;0.969 +/- 0.000;0.569 +/- 0.000;2.779 +/- 0.000;14.029 +/- 0.000;2.338 +/- 0.000;1.78 +/- 0.000;0.75 +/- 0.000;0.315 +/- 0.000
